Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag
Ensemble_Learning,Teacher_Efficacy_Workforce,Negative,1,empirical_finding
Ensemble_Learning,Teacher_Efficacy_Workforce,Positive,1,empirical_finding
Ensemble_Learning,Teacher_Quality_Practices,Null,1,empirical_finding
Ensemble_Learning,Wellbeing_Mental_Health,Negative,1,empirical_finding
Ensemble_Learning,Wellbeing_Mental_Health,Null,5,empirical_finding
Ensemble_Learning,Wellbeing_Mental_Health,Positive,2,empirical_finding
Ensemble_Learning,Wellbeing_Psychological,Negative,1,empirical_finding
Ensemble_Learning,Wellbeing_Psychological,Null,1,empirical_finding
Ensemble_Learning,Wellbeing_Psychological,Positive,2,empirical_finding
Supervised_General,Academic_Resilience,Negative,1,empirical_finding
Supervised_General,Academic_Resilience,Null,1,empirical_finding
Supervised_General,Academic_Resilience,Positive,2,empirical_finding
Supervised_General,Assessment_Methodology,Negative,1,empirical_finding
Supervised_General,Assessment_Methodology,Null,3,empirical_finding
Supervised_General,Civic_Achievement,Positive,1,empirical_finding
Supervised_General,Curriculum_Instruction,Null,1,empirical_finding
Supervised_General,Curriculum_Instruction,Positive,1,empirical_finding
Supervised_General,Gender_Demographics,Positive,1,empirical_finding
Supervised_General,ICT_Usage,Negative,1,empirical_finding
Supervised_General,ICT_Usage,Null,3,empirical_finding
Supervised_General,ICT_Usage,Positive,2,empirical_finding
Supervised_General,Language_Proficiency,Negative,1,empirical_finding
Supervised_General,Language_Proficiency,Null,1,empirical_finding
Supervised_General,Language_Proficiency,Positive,1,empirical_finding
Supervised_General,Math_Achievement,Null,1,empirical_finding
Supervised_General,Math_Achievement,Positive,3,empirical_finding
Supervised_General,Peer_Effects,Negative,1,empirical_finding
Supervised_General,Psychometrics_Process,Positive,1,empirical_finding
Supervised_General,Reading_Achievement,Null,3,empirical_finding
Supervised_General,Reading_Achievement,Positive,7,empirical_finding
Supervised_General,SES,Negative,1,empirical_finding
Supervised_General,School_Efficiency_Climate,Null,1,empirical_finding
Supervised_General,Science_Achievement,Positive,2,empirical_finding
Supervised_General,Self_Efficacy,Null,1,empirical_finding
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Negative,13,theoretical_meta_synthesis
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Null,164,theoretical_meta_synthesis
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Positive,37,theoretical_meta_synthesis
Traditional_Stats,Anxiety_Stress,Negative,2,empirical_finding
Traditional_Stats,Anxiety_Stress,Null,3,empirical_finding
Traditional_Stats,Anxiety_Stress,Positive,5,empirical_finding
Traditional_Stats,Assessment_Methodology,Negative,4,empirical_finding
Traditional_Stats,Assessment_Methodology,Null,19,empirical_finding
Traditional_Stats,Assessment_Methodology,Positive,16,empirical_finding
Traditional_Stats,Assessment_Practices,Null,1,empirical_finding
Traditional_Stats,Assessment_Practices,Positive,2,empirical_finding
Traditional_Stats,Belonging_School_Climate,Negative,3,empirical_finding
Traditional_Stats,Belonging_School_Climate,Null,8,empirical_finding
Traditional_Stats,Belonging_School_Climate,Positive,6,empirical_finding
Traditional_Stats,Civic_Achievement,Negative,1,empirical_finding
Traditional_Stats,Civic_Achievement,Null,11,empirical_finding
Traditional_Stats,Civic_Achievement,Positive,8,empirical_finding
Traditional_Stats,Civic_Engagement,Negative,4,empirical_finding
Traditional_Stats,Civic_Engagement,Null,2,empirical_finding
Traditional_Stats,Civic_Engagement,Positive,8,empirical_finding
Traditional_Stats,Curriculum_Instruction,Null,5,empirical_finding
Traditional_Stats,Curriculum_Instruction,Positive,1,empirical_finding
Traditional_Stats,Dropout_Retention,Null,1,empirical_finding
Traditional_Stats,Dropout_Retention,Positive,1,empirical_finding
Traditional_Stats,Gender_Demographics,Negative,12,empirical_finding
Traditional_Stats,Gender_Demographics,Null,28,empirical_finding
Traditional_Stats,Gender_Demographics,Positive,16,empirical_finding
Traditional_Stats,Homework_Study_Time,Null,2,empirical_finding
Traditional_Stats,Homework_Study_Time,Positive,1,empirical_finding
Traditional_Stats,ICT_Usage,Negative,4,empirical_finding
Traditional_Stats,ICT_Usage,Null,26,empirical_finding
Traditional_Stats,ICT_Usage,Positive,17,empirical_finding
Traditional_Stats,Immigration_Language,Negative,1,empirical_finding
Traditional_Stats,Immigration_Language,Null,3,empirical_finding
Traditional_Stats,Immigration_Language,Positive,3,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Negative,4,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Null,9,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Positive,7,empirical_finding
Traditional_Stats,Language_Proficiency,Null,1,empirical_finding
Traditional_Stats,Math_Achievement,Negative,23,empirical_finding
Traditional_Stats,Math_Achievement,Null,97,empirical_finding
Traditional_Stats,Math_Achievement,Positive,59,empirical_finding
Traditional_Stats,Metacognition_Strategies,Negative,2,empirical_finding
Traditional_Stats,Metacognition_Strategies,Positive,2,empirical_finding
Traditional_Stats,Occupational_Expectation,Negative,1,empirical_finding
Traditional_Stats,Occupational_Expectation,Null,2,empirical_finding
Traditional_Stats,Occupational_Expectation,Positive,1,empirical_finding
Traditional_Stats,Parental_Involvement,Null,3,empirical_finding
Traditional_Stats,Parental_Involvement,Positive,3,empirical_finding
Traditional_Stats,Peer_Effects,Null,2,empirical_finding
Traditional_Stats,Peer_Effects,Positive,2,empirical_finding
Traditional_Stats,Prior_Achievement,Null,1,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Negative,3,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Null,21,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Positive,13,empirical_finding
Traditional_Stats,Process_Data_Log,Negative,1,empirical_finding
Traditional_Stats,Process_Data_Log,Null,2,empirical_finding
Traditional_Stats,Process_Data_Log,Positive,2,empirical_finding
Traditional_Stats,Psychometrics_Process,Negative,10,empirical_finding
Traditional_Stats,Psychometrics_Process,Null,20,empirical_finding
Traditional_Stats,Psychometrics_Process,Positive,13,empirical_finding
Traditional_Stats,Reading_Achievement,Negative,18,empirical_finding
Traditional_Stats,Reading_Achievement,Null,133,empirical_finding
Traditional_Stats,Reading_Achievement,Positive,45,empirical_finding
Traditional_Stats,SES,Negative,7,empirical_finding
Traditional_Stats,SES,Null,26,empirical_finding
Traditional_Stats,SES,Positive,10,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Negative,11,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Null,22,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Positive,16,empirical_finding
Traditional_Stats,School_Resources,Negative,2,empirical_finding
Traditional_Stats,School_Resources,Null,1,empirical_finding
Traditional_Stats,Science_Achievement,Negative,8,empirical_finding
Traditional_Stats,Science_Achievement,Null,81,empirical_finding
Traditional_Stats,Science_Achievement,Positive,39,empirical_finding
Traditional_Stats,Self_Efficacy,Negative,5,empirical_finding
Traditional_Stats,Self_Efficacy,Null,14,empirical_finding
Traditional_Stats,Self_Efficacy,Positive,11,empirical_finding
Traditional_Stats,Student_Motivation,Negative,1,empirical_finding
Traditional_Stats,Student_Motivation,Null,6,empirical_finding
Traditional_Stats,Student_Motivation,Positive,8,empirical_finding
Traditional_Stats,System_Policy,Null,8,empirical_finding
Traditional_Stats,System_Policy,Positive,7,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Negative,7,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Null,15,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Positive,23,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Negative,5,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Null,8,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Positive,13,empirical_finding
Traditional_Stats,Wellbeing_Mental_Health,Negative,6,empirical_finding
Traditional_Stats,Wellbeing_Mental_Health,Null,4,empirical_finding
Traditional_Stats,Wellbeing_Mental_Health,Positive,4,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Negative,13,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Null,18,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Positive,18,empirical_finding
