Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag
Traditional_Stats,Assessment_Methodology,Null,12,empirical_finding
Traditional_Stats,Assessment_Methodology,Positive,12,empirical_finding
Traditional_Stats,Assessment_Practices,Positive,2,empirical_finding
Traditional_Stats,Belonging_School_Climate,Negative,3,empirical_finding
Traditional_Stats,Belonging_School_Climate,Null,7,empirical_finding
Traditional_Stats,Belonging_School_Climate,Positive,6,empirical_finding
Traditional_Stats,Civic_Achievement,Negative,1,empirical_finding
Traditional_Stats,Civic_Achievement,Null,11,empirical_finding
Traditional_Stats,Civic_Achievement,Positive,8,empirical_finding
Traditional_Stats,Civic_Engagement,Negative,4,empirical_finding
Traditional_Stats,Civic_Engagement,Null,2,empirical_finding
Traditional_Stats,Civic_Engagement,Positive,8,empirical_finding
Traditional_Stats,Curriculum_Instruction,Null,5,empirical_finding
Traditional_Stats,Curriculum_Instruction,Positive,1,empirical_finding
Traditional_Stats,Dropout_Retention,Null,1,empirical_finding
Traditional_Stats,Dropout_Retention,Positive,1,empirical_finding
Traditional_Stats,Gender_Demographics,Negative,12,empirical_finding
Traditional_Stats,Gender_Demographics,Null,28,empirical_finding
Traditional_Stats,Gender_Demographics,Positive,16,empirical_finding
Traditional_Stats,Homework_Study_Time,Null,2,empirical_finding
Traditional_Stats,Homework_Study_Time,Positive,1,empirical_finding
Traditional_Stats,ICT_Usage,Negative,4,empirical_finding
Traditional_Stats,ICT_Usage,Null,24,empirical_finding
Traditional_Stats,ICT_Usage,Positive,15,empirical_finding
Traditional_Stats,Immigration_Language,Negative,1,empirical_finding
Traditional_Stats,Immigration_Language,Null,3,empirical_finding
Traditional_Stats,Immigration_Language,Positive,3,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Negative,4,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Null,9,empirical_finding
Traditional_Stats,Labor_Market_Outcomes,Positive,7,empirical_finding
Traditional_Stats,Math_Achievement,Negative,16,empirical_finding
Traditional_Stats,Math_Achievement,Null,71,empirical_finding
Traditional_Stats,Math_Achievement,Positive,49,empirical_finding
Traditional_Stats,Metacognition_Strategies,Negative,2,empirical_finding
Traditional_Stats,Metacognition_Strategies,Positive,1,empirical_finding
Traditional_Stats,Occupational_Expectation,Null,2,empirical_finding
Traditional_Stats,Occupational_Expectation,Positive,1,empirical_finding
Traditional_Stats,Parental_Involvement,Null,2,empirical_finding
Traditional_Stats,Parental_Involvement,Positive,3,empirical_finding
Traditional_Stats,Peer_Effects,Null,2,empirical_finding
Traditional_Stats,Peer_Effects,Positive,2,empirical_finding
Traditional_Stats,Prior_Achievement,Null,1,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Negative,3,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Null,16,empirical_finding
Traditional_Stats,Problem_Solving_Achievement,Positive,11,empirical_finding
Traditional_Stats,Process_Data_Log,Negative,1,empirical_finding
Traditional_Stats,Process_Data_Log,Null,2,empirical_finding
Traditional_Stats,Process_Data_Log,Positive,2,empirical_finding
Traditional_Stats,Psychometrics_Process,Negative,10,empirical_finding
Traditional_Stats,Psychometrics_Process,Null,18,empirical_finding
Traditional_Stats,Psychometrics_Process,Positive,12,empirical_finding
Traditional_Stats,Reading_Achievement,Negative,12,empirical_finding
Traditional_Stats,Reading_Achievement,Null,100,empirical_finding
Traditional_Stats,Reading_Achievement,Positive,31,empirical_finding
Traditional_Stats,SES,Negative,7,empirical_finding
Traditional_Stats,SES,Null,26,empirical_finding
Traditional_Stats,SES,Positive,10,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Negative,10,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Null,9,empirical_finding
Traditional_Stats,School_Efficiency_Climate,Positive,10,empirical_finding
Traditional_Stats,School_Resources,Negative,2,empirical_finding
Traditional_Stats,School_Resources,Null,1,empirical_finding
Traditional_Stats,Science_Achievement,Negative,8,empirical_finding
Traditional_Stats,Science_Achievement,Null,69,empirical_finding
Traditional_Stats,Science_Achievement,Positive,31,empirical_finding
Traditional_Stats,Self_Efficacy,Negative,5,empirical_finding
Traditional_Stats,Self_Efficacy,Null,14,empirical_finding
Traditional_Stats,Self_Efficacy,Positive,11,empirical_finding
Traditional_Stats,Student_Motivation,Negative,1,empirical_finding
Traditional_Stats,Student_Motivation,Null,6,empirical_finding
Traditional_Stats,Student_Motivation,Positive,8,empirical_finding
Traditional_Stats,System_Policy,Null,5,empirical_finding
Traditional_Stats,System_Policy,Positive,2,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Negative,6,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Null,13,empirical_finding
Traditional_Stats,Teacher_Efficacy_Workforce,Positive,22,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Negative,4,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Null,7,empirical_finding
Traditional_Stats,Teacher_Quality_Practices,Positive,10,empirical_finding
Traditional_Stats,Uncategorized_Contextual,Negative,23,excluded
Traditional_Stats,Uncategorized_Contextual,Null,61,excluded
Traditional_Stats,Uncategorized_Contextual,Positive,66,excluded
Traditional_Stats,Wellbeing_Mental_Health,Negative,5,empirical_finding
Traditional_Stats,Wellbeing_Mental_Health,Null,4,empirical_finding
Traditional_Stats,Wellbeing_Mental_Health,Positive,4,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Negative,11,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Null,12,empirical_finding
Traditional_Stats,Wellbeing_Psychological,Positive,10,empirical_finding
