Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count
Traditional_Stats,Immigration_Language,Null,3
Traditional_Stats,Immigration_Language,Positive,3
Traditional_Stats,Math_Achievement,Negative,18
Traditional_Stats,Math_Achievement,Null,94
Traditional_Stats,Math_Achievement,Positive,57
Traditional_Stats,Metacognition_Strategies,Negative,2
Traditional_Stats,Metacognition_Strategies,Positive,1
Traditional_Stats,Occupational_Expectation,Positive,1
Traditional_Stats,Parental_Involvement,Null,2
Traditional_Stats,Parental_Involvement,Positive,2
Traditional_Stats,Peer_Effects,Null,2
Traditional_Stats,Peer_Effects,Positive,2
Traditional_Stats,Prior_Achievement,Null,1
Traditional_Stats,Problem_Solving_Achievement,Negative,3
Traditional_Stats,Problem_Solving_Achievement,Null,19
Traditional_Stats,Problem_Solving_Achievement,Positive,11
Traditional_Stats,Process_Data_Log,Negative,1
Traditional_Stats,Process_Data_Log,Null,2
Traditional_Stats,Process_Data_Log,Positive,2
Traditional_Stats,Psychometrics_Process,Negative,8
Traditional_Stats,Psychometrics_Process,Null,25
Traditional_Stats,Psychometrics_Process,Positive,16
Traditional_Stats,Reading_Achievement,Negative,19
Traditional_Stats,Reading_Achievement,Null,134
Traditional_Stats,Reading_Achievement,Positive,46
Traditional_Stats,SES,Negative,7
Traditional_Stats,SES,Null,26
Traditional_Stats,SES,Positive,10
Traditional_Stats,School_Resources,Negative,2
Traditional_Stats,School_Resources,Null,1
Traditional_Stats,School_Type_Composition,Negative,1
Traditional_Stats,School_Type_Composition,Null,1
Traditional_Stats,School_Type_Composition,Positive,1
Traditional_Stats,Science_Achievement,Negative,11
Traditional_Stats,Science_Achievement,Null,82
Traditional_Stats,Science_Achievement,Positive,40
Traditional_Stats,Self_Efficacy,Negative,6
Traditional_Stats,Self_Efficacy,Null,17
Traditional_Stats,Self_Efficacy,Positive,17
Traditional_Stats,Student_Motivation,Negative,1
Traditional_Stats,Student_Motivation,Null,6
Traditional_Stats,Student_Motivation,Positive,8
Traditional_Stats,System_Policy,Null,5
Traditional_Stats,System_Policy,Positive,2
Traditional_Stats,Teacher_Quality_Practices,Negative,17
Traditional_Stats,Teacher_Quality_Practices,Null,41
Traditional_Stats,Teacher_Quality_Practices,Positive,36
Traditional_Stats,Wellbeing_Mental_Health,Negative,4
Traditional_Stats,Wellbeing_Mental_Health,Null,4
Traditional_Stats,Wellbeing_Mental_Health,Positive,4
